time,price,volume
2024-01-01,100.52,1200
2024-01-02,101.14,1100
2024-01-03,100.87,1300
2024-01-04,102.21,1500
2024-01-05,101.95,1600
2024-01-06,102.48,1400
2024-01-07,103.16,1550
2024-01-08,102.91,1700
2024-01-09,103.55,1650
2024-01-10,104.12,1580
2024-01-11,104.77,1420
2024-01-12,104.33,1370
2024-01-13,103.95,1490
2024-01-14,104.62,1520
2024-01-15,105.14,1600
2024-01-16,104.73,1550
2024-01-17,105.28,1700
2024-01-18,104.92,1750
2024-01-19,105.66,1800
2024-01-20,106.14,1900
2024-01-21,105.87,2000
2024-01-22,106.45,2100
2024-01-23,107.12,2200
2024-01-24,106.88,2300
2024-01-25,107.44,2400
2024-01-26,108.05,2500
2024-01-27,108.66,2600
2024-01-28,108.21,2700
2024-01-29,108.94,2800
2024-01-30,109.52,2750
2024-01-31,110.14,2900
2024-02-01,109.86,3000
2024-02-02,110.55,3050
2024-02-03,111.12,3150
2024-02-04,110.78,3100
2024-02-05,111.33,3200
2024-02-06,112.05,3300
2024-02-07,111.62,3250
2024-02-08,112.24,3400
2024-02-09,113.05,3500
2024-02-10,112.78,3600
2024-02-11,113.42,3550
2024-02-12,114.08,3700
2024-02-13,113.76,3650
2024-02-14,114.55,3800
2024-02-15,115.14,3900
2024-02-16,114.87,4000
2024-02-17,115.55,4100
2024-02-18,116.18,4200
2024-02-19,115.82,4300
2024-02-20,116.51,4400
2024-02-21,117.14,4500
2024-02-22,116.72,4600
2024-02-23,117.33,4700
2024-02-24,118.02,4800
2024-02-25,118.71,4900
2024-02-26,118.24,5000
2024-02-27,118.94,5100
2024-02-28,119.52,5200
2024-02-29,120.25,5400
2024-03-01,119.88,5300
2024-03-02,120.58,5500
2024-03-03,121.12,5600
2024-03-04,120.84,5700
2024-03-05,121.55,5800
2024-03-06,122.14,5900
2024-03-07,121.76,6000
2024-03-08,122.42,6100
2024-03-09,123.14,6200
2024-03-10,122.78,6300
2024-03-11,123.51,6400
2024-03-12,124.22,6500
2024-03-13,123.87,6600
2024-03-14,124.55,6700
2024-03-15,125.21,6800
2024-03-16,124.77,6900
2024-03-17,125.42,7000
2024-03-18,126.14,7100
2024-03-19,125.82,7200
2024-03-20,126.51,7300
2024-03-21,127.24,7400
2024-03-22,126.89,7500
2024-03-23,127.55,7600
2024-03-24,128.21,7700
2024-03-25,128.87,7800
2024-03-26,129.42,8000
2024-03-27,129.05,8100
2024-03-28,129.76,8200
2024-03-29,130.12,8300
2024-03-30,131.05,8400
2024-03-31,131.62,8500
2024-04-01,131.22,8600
2024-04-02,131.95,8700
2024-04-03,132.55,8800
2024-04-04,132.22,8900
2024-04-05,132.87,9000
2024-04-06,133.42,9100
2024-04-07,133.05,9200
2024-04-08,133.77,9300
2024-04-09,134.42,9400
2024-04-10,135.14,9500
2024-04-11,134.77,9600
2024-04-12,135.55,9700
2024-04-13,136.08,9800
2024-04-14,135.82,9900
2024-04-15,136.44,10000
2024-04-16,137.02,10100
2024-04-17,137.55,10200
2024-04-18,137.12,10300
2024-04-19,137.87,10400
2024-04-20,138.42,10500
2024-04-21,139.14,10600
2024-04-22,138.72,10800
2024-04-23,139.55,10900
2024-04-24,140.28,11000
2024-04-25,139.94,11100
2024-04-26,140.66,11200
2024-04-27,141.14,11300
2024-04-28,140.78,11400
2024-04-29,141.55,11500
2024-04-30,142.22,11600
2024-05-01,142.91,11700
2024-05-02,142.44,11800
2024-05-03,143.18,11900
2024-05-04,143.82,12000
2024-05-05,144.33,12100
2024-05-06,143.95,12200
2024-05-07,144.66,12300
2024-05-08,145.12,12400
2024-05-09,145.77,12500
2024-05-10,146.25,12600
2024-05-11,145.88,12700
2024-05-12,146.55,12800
2024-05-13,147.14,12900
2024-05-14,148.02,13000
2024-05-15,147.61,13100
2024-05-16,148.22,13200
2024-05-17,148.94,13300
2024-05-18,149.55,13400
2024-05-19,149.12,13500
2024-05-20,149.88,13600
2024-05-21,150.42,13700
2024-05-22,151.14,13800
2024-05-23,151.87,13900
2024-05-24,152.42,14000
2024-05-25,153.05,14100
2024-05-26,153.77,14200
2024-05-27,154.22,14300
2024-05-28,154.88,14400
2024-05-29,155.44,14500
2024-05-30,156.02,14600
2024-05-31,156.72,14700
2024-06-01,156.22,14800
2024-06-02,156.95,14900
2024-06-03,157.42,15000
2024-06-04,158.05,15200
2024-06-05,158.77,15300
2024-06-06,159.44,15400
2024-06-07,160.12,15500
2024-06-08,160.72,15600
2024-06-09,161.44,15700
2024-06-10,161.05,15800
2024-06-11,161.72,15900
2024-06-12,162.24,16000
2024-06-13,162.87,16100
2024-06-14,163.55,16200
2024-06-15,163.22,16300
2024-06-16,163.88,16400
2024-06-17,164.55,16500
2024-06-18,165.22,16600
2024-06-19,165.77,16800
2024-06-20,166.44,16900
2024-06-21,167.12,17000
